"","EmployeeID","EnvironmentSatisfaction","JobSatisfaction","WorkLifeBalance","JobInvolvement","PerformanceRating","Age","Attrition","BusinessTravel","Department","DistanceFromHome","Education","EducationField","EmployeeCount","Gender","JobLevel","JobRole","MaritalStatus","MonthlyIncome","NumCompaniesWorked","Over18","PercentSalaryHike","StandardHours","StockOptionLevel","TotalWorkingYears","TrainingTimesLastYear","YearsAtCompany","YearsSinceLastPromotion","YearsWithCurrManager"
"16",16,3,4,4,3,3,37,"No","Travel_Rarely","Research & Development",1,3,"Life Sciences",1,"Male",2,"Healthcare Representative","Married",53460,4,"Y",11,8,0,7,2,5,0,1
"17",17,4,3,4,2,3,21,"No","Travel_Rarely","Research & Development",3,2,"Life Sciences",1,"Male",1,"Laboratory Technician","Single",42130,1,"Y",12,8,3,3,3,3,1,0
"18",18,1,4,3,3,3,37,"No","Non-Travel","Research & Development",1,3,"Medical",1,"Male",2,"Sales Executive","Divorced",41270,2,"Y",13,8,1,15,2,5,0,2
"19",19,2,2,2,2,3,35,"No","Travel_Rarely","Sales",7,4,"Life Sciences",1,"Male",1,"Sales Representative","Divorced",24380,7,"Y",16,8,0,10,5,7,6,2
"20",20,1,1,3,3,3,38,"No","Travel_Rarely","Research & Development",8,3,"Life Sciences",1,"Female",1,"Manager","Divorced",68700,1,"Y",11,8,1,8,5,8,7,7
"21",21,3,2,1,3,3,26,"No","Travel_Frequently","Research & Development",1,4,"Other",1,"Male",2,"Laboratory Technician","Divorced",104470,1,"Y",18,8,0,6,3,6,1,4
"22",22,1,2,2,2,4,50,"No","Travel_Rarely","Sales",8,4,"Life Sciences",1,"Male",1,"Research Scientist","Divorced",96670,3,"Y",23,8,0,28,2,10,1,6
"23",23,3,3,2,3,3,53,"No","Travel_Rarely","Research & Development",11,4,"Life Sciences",1,"Female",2,"Research Scientist","Married",21480,3,"Y",11,8,0,21,2,5,1,3
"24",24,2,3,3,1,3,42,"No","Travel_Rarely","Research & Development",4,4,"Life Sciences",1,"Male",1,"Manufacturing Director","Married",89260,1,"Y",14,8,0,NA,4,20,11,6
"25",25,2,4,2,3,3,29,"No","Travel_Frequently","Research & Development",16,4,"Medical",1,"Male",1,"Laboratory Technician","Single",65130,1,"Y",11,8,1,10,2,10,0,9
"26",26,2,4,3,3,3,55,"No","Travel_Rarely","Research & Development",1,4,"Other",1,"Female",1,"Research Scientist","Married",67990,3,"Y",11,8,0,12,2,10,0,8
"27",27,1,1,3,3,4,26,"No","Travel_Frequently","Research & Development",9,3,"Life Sciences",1,"Female",1,"Manager","Married",162910,1,"Y",22,8,0,5,3,5,3,3
"28",28,4,4,3,3,3,37,"No","Travel_Rarely","Sales",5,1,"Marketing",1,"Male",1,"Research Scientist","Single",27050,1,"Y",11,8,0,17,2,17,5,7
"29",29,4,3,1,2,3,44,"Yes","Travel_Frequently","Research & Development",1,2,"Medical",1,"Male",2,"Research Scientist","Divorced",103330,3,"Y",14,8,1,19,2,1,0,0
"30",30,4,4,3,2,3,38,"No","Travel_Rarely","Sales",2,3,"Marketing",1,"Female",1,"Manager","Divorced",44480,9,"Y",12,8,0,10,3,2,1,2
"31",31,1,2,3,2,3,26,"Yes","Travel_Rarely","Research & Development",4,3,"Medical",1,"Male",3,"Research Scientist","Divorced",68540,2,"Y",11,8,0,5,5,3,0,2
"32",32,4,4,3,2,3,28,"No","Travel_Rarely","Research & Development",7,3,"Other",1,"Male",1,"Human Resources","Single",96370,1,"Y",13,8,0,5,6,5,0,2
"33",33,3,1,3,3,3,49,"No","Travel_Frequently","Research & Development",1,1,"Medical",1,"Female",2,"Research Scientist","Single",35910,9,"Y",13,8,0,22,2,3,1,2
"34",34,3,2,3,3,3,36,"No","Travel_Rarely","Sales",5,3,"Technical Degree",1,"Male",3,"Sales Executive","Single",54050,4,"Y",14,8,0,10,2,8,7,7
"35",35,4,2,2,3,3,31,"No","Travel_Frequently","Research & Development",9,4,"Medical",1,"Male",1,"Sales Executive","Divorced",46840,1,"Y",16,8,1,2,4,2,2,2
"36",36,4,4,3,3,3,26,"Yes","Travel_Rarely","Research & Development",8,3,"Medical",1,"Male",2,"Manager","Single",157870,1,"Y",12,8,2,8,5,8,7,4
"37",37,2,4,2,3,3,37,"No","Travel_Frequently","Sales",9,1,"Marketing",1,"Male",1,"Laboratory Technician","Married",15140,1,"Y",14,8,0,4,3,4,1,2
"38",38,3,2,4,3,3,42,"No","Travel_Frequently","Sales",2,2,"Marketing",1,"Male",3,"Research Director","Married",29560,5,"Y",13,8,0,23,2,20,4,8
"39",39,3,3,3,2,3,18,"Yes","Travel_Rarely","Research & Development",1,4,"Life Sciences",1,"Male",1,"Sales Executive","Single",23350,1,"Y",14,8,2,0,3,0,0,0
"40",40,3,2,2,2,3,35,"No","Travel_Rarely","Sales",20,2,"Life Sciences",1,"Male",1,"Laboratory Technician","Married",51540,0,"Y",19,8,0,12,2,11,6,9
"41",41,3,NA,3,2,3,36,"No","Travel_Frequently","Research & Development",8,3,"Other",1,"Female",3,"Sales Executive","Married",69620,4,"Y",12,8,2,4,2,1,0,0
"42",42,4,2,3,2,3,51,"No","Travel_Rarely","Research & Development",2,3,"Life Sciences",1,"Male",2,"Laboratory Technician","Divorced",56750,5,"Y",13,8,0,13,2,4,1,2
"43",43,4,2,3,3,3,41,"No","Travel_Rarely","Research & Development",29,1,"Life Sciences",1,"Male",1,"Laboratory Technician","Single",23790,1,"Y",12,8,0,22,6,22,0,4
"44",44,4,3,3,3,3,18,"No","Travel_Rarely","Sales",7,3,"Life Sciences",1,"Male",1,"Research Scientist","Single",38120,1,"Y",15,8,0,0,3,0,0,0
"45",45,2,1,3,2,4,28,"No","Travel_Rarely","Research & Development",9,3,"Medical",1,"Male",1,"Sales Representative","Single",46480,0,"Y",23,8,2,9,2,8,0,7
"46",46,2,4,2,3,3,31,"No","Travel_Rarely","Research & Development",8,1,"Technical Degree",1,"Male",1,"Manufacturing Director","Married",29360,4,"Y",12,8,1,10,2,8,7,7
"47",47,3,4,2,3,4,39,"No","Travel_Rarely","Sales",5,4,"Marketing",1,"Female",2,"Human Resources","Divorced",21050,0,"Y",20,8,0,19,3,18,3,7
"48",48,2,2,3,3,4,36,"No","Non-Travel","Research & Development",5,4,"Life Sciences",1,"Male",1,"Sales Executive","Married",85780,7,"Y",21,8,0,11,4,9,0,8
"49",49,4,3,2,3,4,32,"No","Travel_Rarely","Sales",2,3,"Marketing",1,"Male",2,"Laboratory Technician","Married",27060,1,"Y",21,8,1,13,4,13,4,8
"50",50,1,2,3,2,3,38,"No","Travel_Rarely","Research & Development",5,2,"Life Sciences",1,"Female",3,"Research Scientist","Married",63840,3,"Y",19,8,2,19,4,10,0,1
"51",51,4,3,3,2,3,58,"No","Non-Travel","Research & Development",2,3,"Life Sciences",1,"Male",2,"Manufacturing Director","Divorced",39680,2,"Y",13,8,2,12,3,5,1,2
"52",52,3,4,3,2,3,31,"No","Travel_Rarely","Research & Development",20,1,"Technical Degree",1,"Female",3,"Research Scientist","Married",99070,0,"Y",13,8,1,6,3,5,0,3
"53",53,1,1,3,3,4,31,"No","Travel_Rarely","Sales",7,4,"Marketing",1,"Male",2,"Sales Executive","Married",132250,3,"Y",21,8,1,9,2,2,1,0
"54",54,1,1,3,3,3,45,"No","Travel_Frequently","Research & Development",3,1,"Medical",1,"Female",1,"Sales Executive","Divorced",35400,1,"Y",13,8,0,24,6,24,9,11
"55",55,3,4,1,3,3,31,"No","Travel_Rarely","Sales",16,4,"Marketing",1,"Female",2,"Research Scientist","Divorced",28040,0,"Y",19,8,2,3,0,2,2,2
"56",56,4,2,3,3,3,33,"No","Travel_Frequently","Research & Development",9,3,"Life Sciences",1,"Male",4,"Research Director","Married",193920,6,"Y",12,8,1,12,3,10,8,8
"57",57,3,1,3,3,4,39,"No","Travel_Rarely","Sales",1,4,"Life Sciences",1,"Male",1,"Sales Executive","Married",196650,1,"Y",22,8,1,21,6,21,11,10
"58",58,3,4,3,3,3,43,"No","Travel_Frequently","Research & Development",7,4,"Medical",1,"Male",4,"Research Scientist","Single",24390,0,"Y",15,8,0,9,2,8,1,7
"59",59,3,3,3,3,4,49,"No","Travel_Rarely","Research & Development",1,3,"Life Sciences",1,"Male",3,"Manufacturing Director","Single",73140,7,"Y",22,8,0,25,2,7,0,7
"60",60,3,2,2,3,3,52,"Yes","Travel_Rarely","Research & Development",7,1,"Life Sciences",1,"Female",2,"Research Scientist","Married",47740,2,"Y",18,8,1,11,2,8,7,7
"61",61,3,2,2,3,4,27,"No","Travel_Rarely","Research & Development",15,4,"Medical",1,"Male",3,"Research Scientist","Single",39020,1,"Y",22,8,0,4,2,4,1,2
"62",62,3,2,3,4,3,32,"No","Travel_Rarely","Research & Development",1,3,"Life Sciences",1,"Male",3,"Research Scientist","Married",26620,1,"Y",11,8,1,13,6,13,11,9
"63",63,4,3,3,4,3,27,"No","Travel_Rarely","Research & Development",13,2,"Medical",1,"Female",4,"Research Director","Single",28560,1,"Y",12,8,2,5,5,5,0,4
"64",64,4,4,3,4,3,31,"No","Travel_Rarely","Sales",24,3,"Life Sciences",1,"Male",2,"Healthcare Representative","Divorced",10810,4,"Y",11,8,3,13,4,7,1,7
"65",65,1,4,2,3,3,32,"No","Travel_Rarely","Research & Development",7,3,"Technical Degree",1,"Male",2,"Healthcare Representative","Single",24720,7,"Y",13,8,0,10,2,7,0,7
"66",66,1,4,2,2,3,28,"Yes","Travel_Rarely","Research & Development",9,4,"Medical",1,"Male",1,"Sales Executive","Married",56730,5,"Y",14,8,1,5,4,3,2,2
"67",67,4,4,3,3,3,30,"No","Travel_Rarely","Research & Development",13,3,"Life Sciences",1,"Female",4,"Research Director","Married",41970,1,"Y",13,8,0,11,3,10,1,9
"68",68,3,3,3,2,3,31,"No","Travel_Frequently","Research & Development",2,1,"Life Sciences",1,"Female",1,"Manager","Married",97130,1,"Y",17,8,0,10,5,10,8,9
"69",69,3,4,3,3,3,39,"No","Travel_Frequently","Research & Development",19,4,"Medical",1,"Female",1,"Research Scientist","Married",20620,1,"Y",13,8,0,21,4,21,13,3
"70",70,4,3,2,3,3,39,"Yes","Travel_Rarely","Research & Development",1,1,"Medical",1,"Female",1,"Laboratory Technician","Married",42840,4,"Y",17,8,1,12,0,1,0,0
"71",71,2,4,2,3,3,33,"No","Travel_Frequently","Sales",4,2,"Life Sciences",1,"Male",4,"Research Scientist","Single",47880,3,"Y",11,8,1,9,0,7,0,1
"72",72,4,3,3,4,4,47,"No","Travel_Rarely","Research & Development",4,3,"Life Sciences",1,"Female",2,"Healthcare Representative","Married",59060,4,"Y",23,8,0,21,4,3,1,1
"73",73,3,3,4,3,3,43,"No","Travel_Frequently","Research & Development",14,3,"Medical",1,"Female",5,"Research Director","Divorced",38860,1,"Y",17,8,2,9,2,9,0,0
"74",74,3,2,3,3,3,27,"No","Non-Travel","Research & Development",2,3,"Life Sciences",1,"Male",1,"Research Director","Married",168230,0,"Y",17,8,0,6,3,5,1,4
"75",75,4,3,2,3,3,54,"No","Travel_Frequently","Research & Development",1,4,"Life Sciences",1,"Male",2,"Research Scientist","Single",29330,3,"Y",12,8,2,20,2,4,0,3
"76",76,3,1,2,3,4,43,"No","Travel_Rarely","Research & Development",7,2,"Life Sciences",1,"Female",2,"Manager","Married",65000,8,"Y",23,8,0,10,3,1,0,0
"77",77,4,4,3,3,3,45,"No","Travel_Rarely","Sales",3,1,"Marketing",1,"Female",1,"Sales Executive","Married",171740,9,"Y",14,8,1,12,6,10,9,8
"78",78,2,4,2,3,3,40,"No","Travel_Rarely","Research & Development",2,4,"Other",1,"Male",4,"Research Scientist","Married",50330,2,"Y",14,8,2,6,6,4,0,2
"79",79,2,1,2,3,3,29,"Yes","Travel_Rarely","Research & Development",29,3,"Medical",1,"Female",1,"Research Scientist","Married",23070,1,"Y",13,8,1,7,0,7,0,7
"80",80,2,4,3,3,4,29,"No","Travel_Rarely","Human Resources",8,3,"Medical",1,"Male",3,"Sales Representative","Single",25870,0,"Y",22,8,2,4,3,3,2,2
"81",81,4,3,3,2,3,30,"No","Travel_Rarely","Research & Development",10,3,"Life Sciences",1,"Male",2,"Research Scientist","Divorced",55070,1,"Y",12,8,2,10,2,10,1,2
"82",82,2,2,3,2,3,27,"No","Travel_Rarely","Research & Development",11,2,"Medical",1,"Male",1,"Manager","Married",43930,1,"Y",18,8,1,8,2,8,0,7
"83",83,4,4,2,3,3,37,"No","Travel_Rarely","Sales",1,4,"Life Sciences",1,"Male",2,"Healthcare Representative","Divorced",133480,7,"Y",14,8,0,8,4,6,0,4
"84",84,3,4,3,3,3,38,"No","Travel_Rarely","Research & Development",28,4,"Medical",1,"Male",1,"Laboratory Technician","Divorced",65830,0,"Y",12,8,0,12,1,11,2,9
"85",85,3,4,NA,3,3,31,"No","Travel_Rarely","Research & Development",6,3,"Medical",1,"Female",3,"Manager","Single",81030,1,"Y",15,8,1,11,5,11,4,10
"86",86,4,2,3,3,3,29,"No","Travel_Rarely","Research & Development",3,4,"Life Sciences",1,"Male",3,"Sales Executive","Divorced",39780,1,"Y",11,8,0,7,0,7,1,7
"87",87,3,2,3,4,3,35,"No","Travel_Rarely","Sales",16,2,"Technical Degree",1,"Male",3,"Manager","Single",25440,0,"Y",13,8,1,17,3,16,0,13
"88",88,3,4,2,2,4,23,"No","Travel_Rarely","Research & Development",20,4,"Life Sciences",1,"Male",1,"Manufacturing Director","Divorced",53990,1,"Y",23,8,0,4,2,4,0,2
"89",89,4,2,3,3,3,41,"No","Travel_Rarely","Research & Development",9,2,"Life Sciences",1,"Female",1,"Laboratory Technician","Single",54870,6,"Y",19,8,2,8,0,5,1,2
"90",90,2,3,3,4,3,47,"No","Travel_Frequently","Sales",1,3,"Medical",1,"Female",2,"Laboratory Technician","Single",68340,3,"Y",16,8,1,5,2,0,0,0
"91",91,1,4,3,1,4,42,"No","Travel_Rarely","Research & Development",3,4,"Life Sciences",1,"Male",1,"Manager","Single",10910,2,"Y",22,8,0,16,0,1,0,0
"92",92,4,3,2,2,4,29,"No","Non-Travel","Sales",22,4,"Marketing",1,"Male",2,"Human Resources","Married",57360,1,"Y",22,8,0,4,1,4,0,2
"93",93,3,3,3,2,3,42,"No","Travel_Rarely","Sales",7,4,"Medical",1,"Male",3,"Research Scientist","Divorced",22260,0,"Y",12,8,1,4,3,3,1,0
"94",94,3,2,3,3,3,32,"No","Travel_Rarely","Research & Development",2,3,"Medical",1,"Male",2,"Research Scientist","Married",57470,1,"Y",13,8,0,8,0,8,0,7
"95",95,1,3,1,2,3,48,"No","Travel_Rarely","Sales",13,4,"Medical",1,"Male",4,"Sales Executive","Married",98540,3,"Y",16,8,1,15,2,0,0,0
"96",96,3,1,3,3,3,37,"No","Travel_Rarely","Research & Development",8,5,"Technical Degree",1,"Male",2,"Manufacturing Director","Divorced",54670,4,"Y",12,8,0,13,2,7,6,7
"97",97,4,3,4,3,4,30,"No","Non-Travel","Sales",25,4,"Other",1,"Male",1,"Healthcare Representative","Married",53800,7,"Y",21,8,1,4,0,2,2,2
"98",98,3,3,3,3,3,26,"No","Travel_Rarely","Sales",28,3,"Medical",1,"Female",5,"Laboratory Technician","Married",51510,1,"Y",15,8,3,8,3,8,7,7
"99",99,1,4,3,3,3,42,"No","Travel_Rarely","Sales",2,2,"Medical",1,"Female",1,"Laboratory Technician","Single",21330,3,"Y",13,8,2,14,2,1,0,0
"100",100,1,2,3,2,3,21,"Yes","Travel_Frequently","Research & Development",9,3,"Medical",1,"Female",4,"Manufacturing Director","Single",178750,1,"Y",12,8,0,3,5,3,1,2
"101",101,4,4,3,1,4,36,"No","Non-Travel","Human Resources",28,3,"Human Resources",1,"Male",2,"Laboratory Technician","Single",24320,4,"Y",22,8,0,7,4,1,0,0
"102",102,1,4,3,3,3,36,"No","Travel_Frequently","Research & Development",6,3,"Life Sciences",1,"Female",2,"Research Scientist","Married",47710,4,"Y",13,8,1,16,2,13,1,12
"103",103,4,3,3,1,3,57,"No","Travel_Rarely","Research & Development",21,4,"Life Sciences",1,"Male",5,"Research Scientist","Married",191610,2,"Y",18,8,0,15,2,3,1,2
"104",104,4,3,3,3,3,40,"No","Travel_Rarely","Research & Development",8,3,"Other",1,"Male",2,"Sales Executive","Married",50870,3,"Y",14,8,1,10,3,7,1,7
"105",105,1,4,2,1,3,21,"No","Non-Travel","Research & Development",1,5,"Life Sciences",1,"Female",2,"Manager","Single",28630,1,"Y",14,8,0,3,2,3,2,2
"106",106,4,3,3,1,4,33,"Yes","Travel_Rarely","Human Resources",28,2,"Human Resources",1,"Female",5,"Manager","Single",55610,1,"Y",21,8,1,1,3,1,0,0
"107",107,3,1,3,4,3,37,"No","Travel_Rarely","Research & Development",5,3,"Life Sciences",1,"Male",4,"Research Scientist","Married",21440,6,"Y",19,8,0,17,3,5,0,3
"108",108,3,3,4,3,3,46,"No","Non-Travel","Sales",2,4,"Marketing",1,"Female",2,"Laboratory Technician","Married",30650,2,"Y",11,8,0,7,3,1,0,0
"109",109,1,2,3,4,3,41,"Yes","Travel_Frequently","Research & Development",16,1,"Medical",1,"Female",1,"Research Scientist","Single",28100,1,"Y",11,8,0,8,3,8,7,7
"110",110,4,4,3,3,3,50,"No","Travel_Rarely","Research & Development",9,3,"Medical",1,"Female",3,"Laboratory Technician","Single",98880,6,"Y",15,8,0,20,2,4,1,3
"111",111,3,3,3,2,4,40,"Yes","Travel_Rarely","Research & Development",8,3,"Medical",1,"Female",1,"Healthcare Representative","Married",86280,2,"Y",20,8,0,8,2,6,1,0
"112",112,NA,2,3,3,4,31,"No","Travel_Rarely","Research & Development",1,3,"Life Sciences",1,"Male",4,"Human Resources","Single",28670,0,"Y",24,8,0,3,5,2,2,2
"113",113,3,2,3,3,3,21,"Yes","Travel_Rarely","Human Resources",10,2,"Human Resources",1,"Male",1,"Laboratory Technician","Single",53730,1,"Y",12,8,1,1,2,1,0,0
"114",114,4,4,3,4,3,29,"No","Travel_Rarely","Research & Development",1,3,"Life Sciences",1,"Female",2,"Research Director","Single",66670,9,"Y",12,8,1,6,6,3,1,2
"115",115,3,2,3,3,3,35,"No","Travel_Rarely","Research & Development",29,3,"Life Sciences",1,"Female",3,"Sales Executive","Single",50030,9,"Y",15,8,0,10,2,1,0,0
"116",116,4,2,3,3,3,27,"No","Travel_Rarely","Sales",2,3,"Life Sciences",1,"Male",1,"Sales Executive","Divorced",23670,NA,"Y",12,8,1,5,2,5,0,4
"117",117,2,4,3,2,3,28,"No","Travel_Rarely","Research & Development",2,2,"Medical",1,"Male",3,"Manager","Single",28580,1,"Y",12,8,0,7,2,7,0,7
"118",118,2,3,3,3,3,49,"No","Travel_Rarely","Sales",2,3,"Technical Degree",1,"Male",2,"Manufacturing Director","Single",52040,8,"Y",14,8,1,26,3,5,0,0
"119",119,3,4,2,3,4,51,"No","Travel_Rarely","Research & Development",1,2,"Life Sciences",1,"Male",1,"Sales Executive","Married",41050,4,"Y",22,8,1,18,2,7,0,7
"120",120,4,3,3,3,3,36,"No","Travel_Rarely","Sales",15,2,"Life Sciences",1,"Male",1,"Sales Executive","Married",96790,4,"Y",12,8,0,6,1,2,2,2
"121",121,1,4,2,3,4,34,"Yes","Non-Travel","Research & Development",7,3,"Life Sciences",1,"Male",1,"Sales Representative","Single",56170,8,"Y",25,8,1,9,3,5,0,4
"122",122,3,4,3,3,3,55,"No","Travel_Rarely","Sales",26,3,"Marketing",1,"Male",1,"Laboratory Technician","Single",104480,2,"Y",13,8,0,30,3,5,1,2
"123",123,4,3,4,3,3,24,"No","Travel_Rarely","Research & Development",1,3,"Life Sciences",1,"Female",5,"Manager","Divorced",28970,1,"Y",18,8,3,5,4,5,0,3
"124",124,3,2,3,3,3,30,"No","Travel_Rarely","Research & Development",3,3,"Life Sciences",1,"Female",2,"Manager","Married",59680,1,"Y",13,8,0,1,3,1,0,0
"125",125,3,NA,3,3,3,26,"Yes","Travel_Frequently","Sales",14,3,"Life Sciences",1,"Male",2,"Manager","Single",75100,0,"Y",18,8,3,7,3,6,0,4
"126",126,1,2,3,2,3,22,"No","Travel_Rarely","Research & Development",16,5,"Other",1,"Male",1,"Research Scientist","Married",29910,1,"Y",19,8,2,2,3,2,1,2
"127",127,2,3,3,3,3,36,"No","Travel_Rarely","Research & Development",1,3,"Medical",1,"Female",5,"Healthcare Representative","Married",196360,1,"Y",12,8,1,10,3,10,9,0
"128",128,3,4,3,2,3,30,"Yes","Travel_Frequently","Sales",3,2,"Marketing",1,"Male",3,"Research Scientist","Single",11290,9,"Y",19,8,0,3,2,1,0,0
"129",129,4,1,2,3,3,37,"No","Travel_Rarely","Research & Development",10,1,"Technical Degree",1,"Male",1,"Sales Executive","Divorced",133410,1,"Y",14,8,1,18,3,18,12,17
"130",130,4,2,3,2,3,40,"No","Travel_Rarely","Research & Development",6,2,"Medical",1,"Male",3,"Research Scientist","Divorced",43320,7,"Y",14,8,2,8,3,5,1,3
"131",131,2,1,3,2,3,42,"No","Travel_Rarely","Research & Development",2,3,"Medical",1,"Female",4,"Manager","Divorced",110310,3,"Y",12,8,1,8,2,5,1,2
"132",132,3,2,2,2,3,37,"No","Travel_Rarely","Sales",9,1,"Marketing",1,"Male",3,"Sales Executive","Single",44400,2,"Y",11,8,1,18,3,1,0,1
"133",133,1,2,3,3,3,43,"No","Travel_Rarely","Sales",10,2,"Life Sciences",1,"Female",1,"Sales Executive","Divorced",46170,1,"Y",11,8,0,25,2,25,3,9
"134",134,2,3,3,2,3,40,"No","Travel_Rarely","Sales",6,2,"Life Sciences",1,"Female",1,"Laboratory Technician","Married",26470,6,"Y",13,8,0,20,2,1,0,0
"135",135,1,1,2,2,4,54,"No","Travel_Rarely","Human Resources",9,3,"Life Sciences",1,"Female",2,"Manufacturing Director","Married",63230,4,"Y",23,8,1,24,2,4,1,2
"136",136,3,3,3,3,4,34,"No","Non-Travel","Research & Development",28,3,"Medical",1,"Male",1,"Laboratory Technician","Married",56770,9,"Y",20,8,1,6,3,3,1,2
"137",137,2,1,1,2,3,31,"No","Travel_Rarely","Research & Development",10,4,"Life Sciences",1,"Male",3,"Sales Executive","Married",21870,1,"Y",15,8,1,13,2,13,3,12
"138",138,4,4,3,2,3,43,"No","Travel_Frequently","Sales",14,3,"Life Sciences",1,"Female",1,"Manufacturing Director","Married",37480,7,"Y",14,8,2,NA,3,3,1,2
"139",139,3,3,3,3,3,43,"No","Travel_Rarely","Sales",27,4,"Life Sciences",1,"Male",2,"Sales Representative","Divorced",39770,4,"Y",18,8,1,8,3,5,0,2
"140",140,2,4,3,4,3,25,"No","Travel_Rarely","Human Resources",7,2,"Human Resources",1,"Male",1,"Manufacturing Director","Single",86330,1,"Y",19,8,1,5,2,5,1,3
"141",141,2,3,3,2,4,37,"No","Non-Travel","Research & Development",1,3,"Medical",1,"Male",3,"Laboratory Technician","Married",20080,3,"Y",22,8,0,15,5,13,10,7
"142",142,4,1,3,3,3,31,"No","Travel_Rarely","Research & Development",24,1,"Medical",1,"Male",3,"Laboratory Technician","Married",44400,1,"Y",13,8,1,4,2,4,3,2
"143",143,2,3,3,1,4,39,"No","Travel_Frequently","Research & Development",26,4,"Technical Degree",1,"Female",1,"Sales Executive","Divorced",30670,1,"Y",20,8,1,21,5,21,1,6
"144",144,3,1,2,3,3,56,"No","Travel_Frequently","Research & Development",20,4,"Life Sciences",1,"Female",3,"Sales Executive","Married",53210,9,"Y",14,8,0,36,1,7,7,7
"145",145,2,3,3,3,3,30,"No","Travel_Rarely","Sales",5,4,"Medical",1,"Female",2,"Manufacturing Director","Single",54100,0,"Y",17,8,1,6,2,5,4,4
"146",146,2,1,3,2,3,41,"No","Travel_Rarely","Research & Development",7,3,"Technical Degree",1,"Female",3,"Research Scientist","Married",27820,1,"Y",14,8,0,10,2,10,0,7
"147",147,3,1,3,2,3,28,"No","Travel_Rarely","Research & Development",7,3,"Medical",1,"Male",3,"Healthcare Representative","Divorced",119570,1,"Y",13,8,0,10,2,10,1,8
"148",148,1,1,3,3,3,25,"Yes","Travel_Rarely","Research & Development",5,2,"Life Sciences",1,"Female",3,"Laboratory Technician","Married",26600,5,"Y",13,8,0,6,3,2,0,2
"149",149,4,3,3,2,4,52,"No","Travel_Rarely","Research & Development",26,2,"Life Sciences",1,"Female",2,"Sales Representative","Married",33750,2,"Y",21,8,0,28,2,5,0,4
"150",150,1,4,2,3,3,45,"No","Travel_Rarely","Research & Development",2,3,"Medical",1,"Female",1,"Sales Executive","Married",50980,3,"Y",14,8,1,8,4,2,0,2
